bodyId_pre,bodyId_post,pre_name,post_name,type_pre_col,type_post_col,type_pre,type_post,roi_pre,roi_post,count
1261768880,1261773304,ER3db_R_1261768880,ER3dd_R_1261773304,ER3db_R,ER3dd_R,ER3d,ER3d,EB,EB,1
1261768880,1261768832,ER3db_R_1261768880,ER3ac_L_1261768832,ER3db_R,ER3ac_L,ER3d,ER3a,EB,EB,1
1261768880,1261427892,ER3db_R_1261768880,ER3dd_L_1261427892,ER3db_R,ER3dd_L,ER3d,ER3d,EB,EB,1
1261768880,1261423507,ER3db_R_1261768880,ER3dc_R_1261423507,ER3db_R,ER3dc_R,ER3d,ER3d,EB,EB,1
1261768859,5813080272,ER3db_R_1261768859,ER3dd_L_5813080272,ER3db_R,ER3dd_L,ER3d,ER3d,EB,EB,1
1261768832,1352823209,ER3ac_L_1261768832,ER1a_L_1352823209,ER3ac_L,ER1a_L,ER3a,ER1,EB,EB,1
1261768859,5813020587,ER3db_R_1261768859,ER3dc_L_5813020587,ER3db_R,ER3dc_L,ER3d,ER3d,EB,EB,1
1261768859,1292121433,ER3db_R_1261768859,ER3dd_R_1292121433,ER3db_R,ER3dd_R,ER3d,ER3d,EB,EB,1
1261768859,1261773304,ER3db_R_1261768859,ER3dd_R_1261773304,ER3db_R,ER3dd_R,ER3d,ER3d,EB,EB,1
1261768859,1261768644,ER3db_R_1261768859,ER3ac_R_1261768644,ER3db_R,ER3ac_R,ER3d,ER3a,EB,EB,1
1261768859,1261427857,ER3db_R_1261768859,ER3da_L_1261427857,ER3db_R,ER3da_L,ER3d,ER3d,EB,EB,1
1261768859,1261423507,ER3db_R_1261768859,ER3dc_R_1261423507,ER3db_R,ER3dc_R,ER3d,ER3d,EB,EB,1
1261768859,1261086823,ER3db_R_1261768859,ER3dc_L_1261086823,ER3db_R,ER3dc_L,ER3d,ER3d,EB,EB,1
1261768832,5813020585,ER3ac_L_1261768832,ER3pa_R_5813020585,ER3ac_L,ER3pa_R,ER3a,ER3p,EB,EB,1
1261768832,5813020568,ER3ac_L_1261768832,ER3pa_R_5813020568,ER3ac_L,ER3pa_R,ER3a,ER3p,EB,EB,1
1261768832,5812979230,ER3ac_L_1261768832,ER3wb_R_5812979230,ER3ac_L,ER3wb_R,ER3a,ER3w,EB,EB,1
1291366237,1230738163,ER3pb_R_1291366237,ER3ac_L_1230738163,ER3pb_R,ER3ac_L,ER3p,ER3a,EB,EB,1
1291366237,1261086756,ER3pb_R_1291366237,ER3da_R_1261086756,ER3pb_R,ER3da_R,ER3p,ER3d,EB,EB,1
1199432267,1292847181,ER3wa_L_1199432267,ER4m_R_1292847181,ER3wa_L,ER4m_R,ER3w,ER4m,EB,EB,1
1292816565,1261760414,ER3m_R_1292816565,ER3ad_R_1261760414,ER3m_R,ER3ad_R,ER3m,ER3a,EB,EB,1
1292847181,1168055653,ER4m_R_1292847181,ER3wb_L_1168055653,ER4m_R,ER3wb_L,ER4m,ER3w,EB,EB,1
1292847181,1167891559,ER4m_R_1292847181,ER4d_R_1167891559,ER4m_R,ER4d_R,ER4m,ER4d,EB,EB,1
1292847181,1167563121,ER4m_R_1292847181,ER2a_R_1167563121,ER4m_R,ER2a_R,ER4m,ER2,EB,EB,1
1292847181,1167304403,ER4m_R_1292847181,ER4d_R_1167304403,ER4m_R,ER4d_R,ER4m,ER4d,EB,EB,1
